,Brand,Model,Gear,KM,Energie,Year,Price,state,region,Category
1337,PEUGEOT,208,MANUELLE,100502,DIESEL,2019,10120.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1338,PEUGEOT,308,MANUELLE,27905,DIESEL,2020,21600.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1339,PEUGEOT,3008,MANUELLE,95993,DIESEL,2019,23580.0,Île-de-France,Val-d'Oise,Second-Hand
1340,PEUGEOT,3008,MANUELLE,55870,DIESEL,2019,30360.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1341,PEUGEOT,208,MANUELLE,23523,ESSENCE,2020,16290.0,Hauts-de-France,Nord,Second-Hand
1342,PEUGEOT,208,MANUELLE,18866,ESSENCE,2020,13790.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1343,PEUGEOT,108,MANUELLE,10678,ESSENCE,2021,13320.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1344,CITROEN,C1,MANUELLE,7362,ESSENCE,2021,14470.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1345,CITROEN,C4 CACTUS,MANUELLE,39359,ESSENCE,2017,11540.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1346,CITROEN,C3,AUTOMATIQUE,23815,ESSENCE,2020,20070.0,Hauts-de-France,Nord,Second-Hand
1347,CITROEN,C1,MANUELLE,29311,ESSENCE,2019,11310.0,Auvergne-Rhône-Alpes,Rhône,Second-Hand
1348,CITROEN,C3,MANUELLE,57264,ESSENCE,2019,11430.0,Hauts-de-France,Nord,Second-Hand
1349,CITROEN,C3,MANUELLE,51309,ESSENCE,2020,15060.0,Hauts-de-France,Nord,Second-Hand
1350,CITROEN,C3,MANUELLE,34838,ESSENCE,2020,14990.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1351,CITROEN,C3,MANUELLE,79692,DIESEL,2020,14550.0,Auvergne-Rhône-Alpes,Loire,Second-Hand
1352,CITROEN,C3,MANUELLE,29749,DIESEL,2020,16680.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1353,CITROEN,C4,MANUELLE,135306,DIESEL,2018,10400.0,Normandie,Seine-Maritime,Second-Hand
1354,CITROEN,C4 CACTUS,MANUELLE,81765,DIESEL,2020,13360.0,Occitanie,Haute-Garonne,Second-Hand
1355,CITROEN,C4,AUTOMATIQUE,134130,DIESEL,2017,11100.0,Normandie,Orne,Second-Hand
1356,TOYOTA,C-HR,AUTOMATIQUE,42538,HYBRIDE,2018,19990.0,Île-de-France,Val-de-Marne,Second-Hand
1357,TOYOTA,YARIS,MANUELLE,13619,ESSENCE,2020,13620.0,Île-de-France,Seine-et-Marne,Second-Hand
1358,TOYOTA,C-HR,AUTOMATIQUE,44913,HYBRIDE,2019,23770.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1359,TOYOTA,COROLLA,AUTOMATIQUE,16784,HYBRIDE,2021,26430.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1360,TOYOTA,COROLLA,AUTOMATIQUE,3600,HYBRIDE,2021,31180.0,Île-de-France,Seine-et-Marne,Second-Hand
1361,TOYOTA,YARIS,AUTOMATIQUE,47236,HYBRIDE,2018,16220.0,Île-de-France,Seine-et-Marne,Second-Hand
1362,TOYOTA,COROLLA,AUTOMATIQUE,30324,HYBRIDE,2020,24270.0,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Second-Hand
1363,TOYOTA,YARIS,AUTOMATIQUE,19213,HYBRIDE,2019,15010.0,Nouvelle-Aquitaine,Charente,Second-Hand
1364,TOYOTA,C-HR,AUTOMATIQUE,11,HYBRIDE,2021,27120.0,Bretagne,Ille-et-Vilaine,New
1365,TOYOTA,YARIS,AUTOMATIQUE,44065,HYBRIDE,2019,16780.0,Provence-Alpes-Côte d'Azur,Vaucluse,Second-Hand
1366,TOYOTA,YARIS,AUTOMATIQUE,11173,HYBRIDE,2021,22870.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1367,TOYOTA,C-HR,AUTOMATIQUE,38680,HYBRIDE,2019,25780.0,Nouvelle-Aquitaine,Gironde,Second-Hand
1368,TOYOTA,AURIS,AUTOMATIQUE,118650,HYBRIDE,2016,15800.0,Île-de-France,Seine-et-Marne,Second-Hand
1369,TOYOTA,YARIS,AUTOMATIQUE,43329,HYBRIDE,2020,15890.0,Bretagne,Ille-et-Vilaine,Second-Hand
1370,TOYOTA,AYGO,MANUELLE,23383,ESSENCE,2019,9080.0,Île-de-France,Val-d'Oise,Second-Hand
1371,VOLKSWAGEN,POLO,MANUELLE,50858,ESSENCE,2020,15120.0,Centre-Val de Loire,Cher,Second-Hand
1372,VOLKSWAGEN,GOLF,AUTOMATIQUE,4815,DIESEL,2021,34700.0,Grand Est,Meuse,Second-Hand
1373,VOLKSWAGEN,GOLF,AUTOMATIQUE,72878,DIESEL,2019,19740.0,Grand Est,Meuse,Second-Hand
1374,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,64418,DIESEL,2019,33460.0,Nouvelle-Aquitaine,Landes,Second-Hand
1375,VOLKSWAGEN,GOLF,MANUELLE,91,ESSENCE,2021,29520.0,Auvergne-Rhône-Alpes,Puy-de-Dôme,New
1376,VOLKSWAGEN,GOLF,MANUELLE,93940,ESSENCE,2004,6700.0,Île-de-France,Seine-Saint-Denis,Second-Hand
1377,VOLKSWAGEN,GOLF,AUTOMATIQUE,6,HYBRIDE,2021,33910.0,Grand Est,Meuse,New
1378,VOLKSWAGEN,T-ROC,AUTOMATIQUE,48150,ESSENCE,2019,24600.0,Nouvelle-Aquitaine,Lot-et-Garonne,Second-Hand
1379,VOLKSWAGEN,POLO,MANUELLE,12,ESSENCE,2021,21230.0,Nouvelle-Aquitaine,Lot-et-Garonne,New
1380,VOLKSWAGEN,GOLF,MANUELLE,14040,DIESEL,2021,27680.0,Auvergne-Rhône-Alpes,Puy-de-Dôme,Second-Hand
1381,VOLKSWAGEN,GOLF,AUTOMATIQUE,60145,ESSENCE,2018,22970.0,Île-de-France,Val-d'Oise,Second-Hand
1382,VOLKSWAGEN,TIGUAN,AUTOMATIQUE,163236,DIESEL,2015,22570.0,Île-de-France,Seine-et-Marne,Second-Hand
1383,RENAULT,ZOE,AUTOMATIQUE,10938,ELECTRIQUE,2021,25970.0,Grand Est,Meuse,Second-Hand
1384,RENAULT,KADJAR,MANUELLE,71990,DIESEL,2017,17580.0,Centre-Val de Loire,Indre,Second-Hand
1385,RENAULT,MEGANE,MANUELLE,12956,DIESEL,2020,19570.0,Bretagne,Ille-et-Vilaine,Second-Hand
1386,RENAULT,KADJAR,MANUELLE,48821,DIESEL,2019,19680.0,Île-de-France,Essonne,Second-Hand
