,Brand,Model,Gear,KM,Category,Energie,Year,Price,Zip_code,longitude,latitude,City,State,Region,Scoring
7584,PEUGEOT,3008,AUTOMATIQUE,1000,Second-Hand,HYBRIDE,2021,45790.0,26000,4.8951,44.928000000000004,VALENCE,AUVERGNE-RHÔNE-ALPES,DRÔME,9.09
7585,PEUGEOT,208,MANUELLE,15356,Second-Hand,ESSENCE,2019,12299.0,79000,-0.4812666666666667,46.3231,"NIORT, BESSINES, SCIECQ",NOUVELLE-AQUITAINE,DEUX-SÈVRES,6.82
7586,PEUGEOT,108,MANUELLE,18096,Second-Hand,ESSENCE,2017,9480.0,74600,6.073166666666666,45.8406,"QUINTAL, MONTAGNY-LES-LANCHES, SEYNOD",AUVERGNE-RHÔNE-ALPES,HAUTE-SAVOIE,6.36
7587,PEUGEOT,108,MANUELLE,5,New,ESSENCE,2021,12948.0,37500,0.20540666666666668,47.1358,"RIVIÈRE, ANCHÉ, CHINON, LIGRÉ, SAINT-BENOÎT-LA-FORÊT, CANDES-SAINT-MARTIN, CRAVANT-LES-COTEAUX, SEUILLY, SAINT-GERMAIN-SUR-VIENNE, LERNÉ, CINAIS, COUZIERS, LA ROCHE-CLERMAULT, THIZAY, MARÇAY",CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,8.64
7588,PEUGEOT,3008,AUTOMATIQUE,4800,Second-Hand,HYBRIDE,2020,42290.0,33260,-1.1406,44.6287,LA TESTE-DE-BUCH,NOUVELLE-AQUITAINE,GIRONDE,8.64
7589,PEUGEOT,3008,MANUELLE,49297,Second-Hand,DIESEL,2017,21980.0,73490,5.9687,45.5598,LA RAVOIRE,AUVERGNE-RHÔNE-ALPES,SAVOIE,5.45
7590,PEUGEOT,308,MANUELLE,100999,Second-Hand,DIESEL,2017,11890.0,73490,5.9687,45.5598,LA RAVOIRE,AUVERGNE-RHÔNE-ALPES,SAVOIE,4.55
7591,PEUGEOT,3008,AUTOMATIQUE,3000,Second-Hand,HYBRIDE,2021,43599.0,86000,0.3333,46.5833,POITIERS,NOUVELLE-AQUITAINE,VIENNE,9.09
7592,PEUGEOT,108,MANUELLE,3000,Second-Hand,ESSENCE,2021,12999.0,86000,0.3333,46.5833,POITIERS,NOUVELLE-AQUITAINE,VIENNE,8.18
7593,PEUGEOT,2008,MANUELLE,28387,Second-Hand,ESSENCE,2019,14799.0,37540,0.6667,47.4,SAINT-CYR-SUR-LOIRE,CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,6.36
7594,PEUGEOT,3008,MANUELLE,14567,Second-Hand,DIESEL,2019,25999.0,37400,0.9494,47.3947,"LUSSAULT-SUR-LOIRE, AMBOISE",CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,6.36
7595,PEUGEOT,308,AUTOMATIQUE,18500,Second-Hand,DIESEL,2020,22990.0,64300,-0.7441782608695651,43.5125,"MASLACQ, OZENX-MONTESTRUCQ, LAÀ-MONDRANS, SARPOURENX, ORTHEZ, BÉRENX, SALLES-MONGISCARD, LABEYRIE, BALANSUN, LACADÉE, LOUBIENG, CASTÉTIS, BIRON, BAIGTS-DE-BÉARN, CASTETNER, MONT, SAINT-GIRONS-EN-BÉARN, LANNEPLAÀ, ARGAGNON, SAULT-DE-NAVAILLES, SAINT-BOÈS, BONNUT, SALLESPISSE",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,7.27
7596,PEUGEOT,208,MANUELLE,21760,Second-Hand,ESSENCE,2019,12900.0,84000,4.8089,43.9483,AVIGNON,PROVENCE-ALPES-CÔTE D'AZUR,VAUCLUSE,6.82
7597,PEUGEOT,308,AUTOMATIQUE,10,New,DIESEL,2021,25999.0,64200,-1.5315,43.4801,"BASSUSSARRY, BIARRITZ, ARCANGUES",NOUVELLE-AQUITAINE,PYRÉNÉES-ATLANTIQUES,8.64
7598,PEUGEOT,208,MANUELLE,19093,Second-Hand,ESSENCE,2019,11299.0,37500,0.20540666666666668,47.1358,"RIVIÈRE, ANCHÉ, CHINON, LIGRÉ, SAINT-BENOÎT-LA-FORÊT, CANDES-SAINT-MARTIN, CRAVANT-LES-COTEAUX, SEUILLY, SAINT-GERMAIN-SUR-VIENNE, LERNÉ, CINAIS, COUZIERS, LA ROCHE-CLERMAULT, THIZAY, MARÇAY",CENTRE-VAL DE LOIRE,INDRE-ET-LOIRE,6.82
7599,PEUGEOT,208,MANUELLE,42104,Second-Hand,DIESEL,2018,9280.0,13100,5.51904,43.5195,"SAINT-ANTONIN-SUR-BAYON, BEAURECUEIL, AIX-EN-PROVENCE, LE THOLONET, SAINT-MARC-JAUMEGARDE",PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE,5.45
7600,PEUGEOT,108,MANUELLE,100,New,ESSENCE,2021,10700.0,73000,5.9237,45.6216,"CHAMBÉRY, MONTAGNOLE, BASSENS, BARBERAZ, SONNAZ, JACOB-BELLECOMBETTE",AUVERGNE-RHÔNE-ALPES,SAVOIE,8.64
7601,PEUGEOT,108,MANUELLE,30,New,ESSENCE,2021,12790.0,26000,4.8951,44.928000000000004,VALENCE,AUVERGNE-RHÔNE-ALPES,DRÔME,8.64
7602,PEUGEOT,3008,MANUELLE,72450,Second-Hand,DIESEL,2018,22280.0,13100,5.51904,43.5195,"SAINT-ANTONIN-SUR-BAYON, BEAURECUEIL, AIX-EN-PROVENCE, LE THOLONET, SAINT-MARC-JAUMEGARDE",PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE,5.0
7603,PEUGEOT,308,AUTOMATIQUE,63153,Second-Hand,ESSENCE,2014,12490.0,13100,5.51904,43.5195,"SAINT-ANTONIN-SUR-BAYON, BEAURECUEIL, AIX-EN-PROVENCE, LE THOLONET, SAINT-MARC-JAUMEGARDE",PROVENCE-ALPES-CÔTE D'AZUR,BOUCHES-DU-RHÔNE,5.91
